id,id_guia,id_agencia
1,1589,1
2,2487,2
3,2488,3
4,2484,4
5,2480,5
6,2471,6
7,2489,7
8,2474,8
9,2485,9
10,2486,10
11,2476,11
12,2477,12
13,2479,13
14,2277,14
15,10000,15
16,1913,16
17,1536,17
18,2470,18
19,2472,19
20,2482,20
21,2481,21
22,2490,22
23,2478,23
24,2473,24
25,2106,25
26,2524,26
27,2522,27
28,2527,28
29,2528,29
30,2526,30
31,2492,31
32,2491,32
33,2475,33
34,10001,34
35,2217,35
36,2595,36
37,2566,37
38,2571,38
39,2574,39
40,2565,40
41,2568,41
42,2578,42
43,2576,43
44,2570,44
45,2569,45
46,2577,46
47,2573,47
48,2575,48
49,2572,49
50,2579,50
51,2567,51
52,2424,52
53,2423,53
54,2520,54
55,2362,55
56,1707,56
57,2534,57
58,2538,58
59,2541,59
60,2535,60
61,2531,61
62,2537,62
63,2533,63
64,2539,64
65,2540,65
66,2536,66
67,2530,67
68,2532,68
69,2363,69
70,1563,70
71,2280,71
72,2279,72
73,1273,73
74,1592,74
75,1672,75
76,1848,76
77,1948,77
78,1713,78
79,2388,79
80,1990,80
81,1168,81
82,2496,82
83,2374,83
84,397,84
85,912,85
86,1852,86
87,2233,87
88,2349,88
89,651,89
90,10002,90
91,390,91
92,2175,92
93,663,93
94,2351,94
95,2394,95
96,2241,96
97,386,97
98,2372,98
99,406,99
100,1178,100
101,653,101
102,2554,102
103,2177,103
104,1167,104
105,1176,105
106,400,106
107,929,107
108,1163,108
109,905,109
110,2384,110
111,2236,111
112,1853,112
113,10003,113
114,10004,114
115,2378,115
116,1199,116
117,2347,117
118,657,118
119,1192,119
120,2216,120
121,396,121
122,2237,122
123,1169,123
124,1166,124
125,2391,125
126,1190,126
127,2392,127
128,2348,128
129,1854,129
130,925,130
131,911,131
132,2234,132
133,918,133
134,1170,134
135,924,135
136,1175,136
137,2594,137
138,2371,138
139,1172,139
140,909,140
141,655,141
142,921,142
143,2350,143
144,916,144
145,1963,145
146,2360,146
147,1569,147
148,913,148
149,402,149
150,906,150
151,2232,151
152,2497,152
153,1850,153
154,2379,154
155,10005,155
156,2422,156
157,2511,157
158,847,158
159,2242,159
160,962,160
161,693,161
162,2187,162
163,2352,163
164,750,164
165,985,165
166,433,166
167,2074,167
168,1766,168
169,642,169
170,1796,170
171,1982,171
172,2593,172
173,1171,173
174,1793,174
175,669,175
176,2305,176
177,1861,177
178,578,178
179,10006,179
180,226,180
181,2119,181
182,306,182
183,608,183
184,208,184
185,97,185
186,235,186
187,418,187
188,431,188
189,1789,189
190,711,190
191,2690,191
192,1830,192
193,1955,193
194,472,194
195,957,195
196,760,196
197,1907,197
198,2229,198
199,2469,199
200,2143,200
201,2370,201
202,2369,202
203,1091,203
204,573,204
205,2182,205
206,1466,206
207,627,207
208,2463,208
209,22,209
210,980,210
211,2065,211
212,421,212
213,322,213
214,255,214
215,1253,215
216,66,216
217,354,217
218,337,218
219,1761,219
220,2466,220
221,2064,221
222,2222,222
223,51,223
224,339,224
225,464,225
226,72,226
227,207,227
228,612,228
229,594,229
230,2198,230
231,1217,231
232,899,232
233,551,233
234,1308,234
235,671,235
236,2500,236
237,2519,237
238,23,238
239,2425,239
240,857,240
241,2150,241
242,2215,242
243,2067,243
244,2034,244
245,615,245
246,798,246
247,532,247
248,945,248
249,169,249
250,86,250
251,1,251
252,549,252
253,2238,253
254,1634,254
255,1002,255
256,1157,256
257,567,257
258,1670,258
259,2278,259
260,124,260
261,2148,261
262,276,262
263,264,263
264,2041,264
265,1858,265
266,253,266
267,1247,267
268,2324,268
269,2525,269
270,1619,270
271,2608,271
272,363,272
273,30,273
274,2561,274
275,10007,275
276,892,276
277,128,277
278,2306,278
279,2368,279
280,313,280
281,209,281
282,71,282
283,641,283
284,584,284
285,342,285
286,2652,286
287,540,287
288,1750,288
289,2163,289
290,1137,290
291,2003,291
292,2468,292
293,2006,293
294,759,294
295,566,295
296,2073,296
297,665,297
298,425,298
299,329,299
300,1674,300
301,17,301
302,2556,302
303,2220,303
304,2113,304
305,2066,305
306,320,306
307,1695,307
308,1446,308
309,2199,309
310,1748,310
311,409,311
312,289,312
313,1146,313
314,1571,314
315,415,315
316,237,316
317,613,317
318,174,318
319,1092,319
320,672,320
321,1906,321
322,1083,322
323,60,323
324,2185,324
325,507,325
326,801,326
327,436,327
328,683,328
329,2582,329
330,1812,330
331,1979,331
332,2560,332
333,2381,333
334,1467,334
335,2157,335
336,283,336
337,1937,337
338,1430,338
339,2467,339
340,2664,340
341,1200,341
342,1860,342
343,1631,343
344,2105,344
345,10008,345
346,185,346
347,2070,347
348,2151,348
349,1069,349
350,1151,350
351,2672,351
352,2382,352
353,2419,353
354,2465,354
355,344,355
356,89,356
357,2161,357
358,2162,358
359,2205,359
360,1633,360
361,2160,361
362,2166,362
363,2096,363
364,1967,364
365,2385,365
366,2687,366
367,616,367
368,2312,368
369,2689,369
370,2688,370
371,1624,371
372,1098,372
373,948,373
374,1745,374
375,617,375
376,811,376
377,812,377
378,819,378
379,2365,379
380,836,380
381,821,381
382,1343,382
383,862,383
384,876,384
385,1327,385
386,1377,386
387,2364,387
388,1134,388
389,832,389
390,1345,390
391,843,391
392,2586,392
393,2592,393
394,2591,394
395,2589,395
396,2590,396
397,2584,397
398,2585,398
399,2583,399
400,2588,400
401,2587,401
402,2375,402
403,2693,403
404,220,404
405,2376,405
406,271,406
407,2600,407
408,848,408
409,2454,409
410,2108,410
411,724,411
412,2517,412
413,623,413
414,488,414
415,2452,415
416,2203,416
417,521,417
418,2459,418
419,740,419
420,2045,420
421,1885,421
422,2495,422
423,946,423
424,1516,424
425,1543,425
426,675,426
427,299,427
428,249,428
429,722,429
430,2553,430
431,1254,431
432,74,432
433,1231,433
434,419,434
435,2514,435
436,2209,436
437,552,437
438,2226,438
439,2455,439
440,443,440
441,1553,441
442,215,442
443,1805,443
444,1142,444
445,2458,445
446,227,446
447,730,447
448,2456,448
449,2691,449
450,871,450
451,1968,451
452,1510,452
453,725,453
454,1212,454
455,158,455
456,2450,456
457,987,457
458,2513,458
459,2440,459
460,2498,460
461,1891,461
462,449,462
463,216,463
464,1915,464
465,2516,465
466,1525,466
467,248,467
468,2102,468
469,2171,469
470,2446,470
471,2610,471
472,2502,472
473,2453,473
474,721,474
475,1821,475
476,563,476
477,2669,477
478,2036,478
479,2449,479
480,1808,480
481,1507,481
482,2457,482
483,731,483
484,368,484
485,341,485
486,448,486
487,529,487
488,2675,488
489,1009,489
490,2510,490
491,435,491
492,1692,492
493,2230,493
494,2418,494
495,1154,495
496,228,496
497,422,497
498,2613,498
499,55,499
500,717,500
501,1660,501
502,1758,502
503,2460,503
504,558,504
505,739,505
506,1700,506
507,734,507
508,553,508
509,531,509
510,989,510
511,2611,511
512,487,512
513,2366,513
514,1706,514
515,1663,515
516,2075,516
517,2118,517
518,1545,518
519,2501,519
520,993,520
521,2542,521
522,1401,522
523,726,523
524,420,524
525,718,525
526,414,526
527,2444,527
528,727,528
529,2494,529
530,2614,530
531,2084,531
532,1542,532
533,585,533
534,2523,534
535,2451,535
536,1688,536
537,1515,537
538,1677,538
539,212,539
540,82,540
541,2503,541
542,2461,542
543,799,543
544,996,544
545,972,545
546,1898,546
547,234,547
548,728,548
549,2507,549
550,2598,550
551,545,551
552,1132,552
553,474,553
554,732,554
555,2603,555
556,2225,556
557,2155,557
558,217,558
559,231,559
560,1834,560
561,1105,561
562,1552,562
563,1255,563
564,741,564
565,321,565
566,2383,566
567,538,567
568,294,568
569,719,569
570,159,570
571,2509,571
572,1402,572
573,1889,573
574,1143,574
575,2100,575
576,2596,576
577,2448,577
578,2445,578
579,723,579
580,107,580
581,991,581
582,2515,582
583,733,583
584,1535,584
585,2499,585
586,437,586
587,2447,587
588,2508,588
589,2420,589
590,2443,590
591,2240,591
592,10009,592
593,2386,593
594,2549,594
595,330,595
596,2415,596
597,2380,597
598,1229,598
599,2550,599
600,1690,600
601,2373,601
602,10010,602
603,2512,603
604,2547,604
605,971,605
606,2546,606
607,2548,607
608,1756,608
609,525,609
610,1747,610
611,1678,611
612,1230,612
613,1214,613
614,2544,614
615,1500,615
616,2518,616
617,1669,617
618,1504,618
619,1409,619
620,1338,620
621,2552,621
622,2551,622
623,1346,623
624,2545,624
625,804,625
626,1051,626
627,1117,627
628,1714,628
629,1123,629
630,1717,630
631,781,631
632,1659,632
633,1716,633
634,2682,634
635,1684,635
636,1111,636
637,1718,637
638,1730,638
639,2207,639
640,1118,640
641,1744,641
642,1721,642
643,1115,643
644,1356,644
645,2609,645
646,768,646
647,855,647
648,1125,648
649,1749,649
650,1731,650
651,373,651
652,305,652
653,311,653
654,903,654
655,408,655
656,2414,656
